NULL,Processing
INFO,INVOIC_FLACONID07A_UNHUNT_MAX_1,Multiple UNHUNT reporting is not supported on theINVOIC. Please remove additional segments. Critical Error:INVOIC includes an additional UNHUNT at line {0},Only segment and no element: UNHUNT
,INVOIC_FLACONID07A_FTX0401-M_LEN_1_70,Error line {0}: Data found at Free Text at FTX position 04 and sub-position 01 does not meet the Min/Max requirement of 1/70. Free Text must be 1 to 70 characters.|Min/Max Error: The length of FTX0401 is invalid at line {0}.
INFO,INVOIC_FLACONID07A_DTM_REQUIRED,Mandatory DTM segment is missing from the submitted file.DTM is required on allINVOIC.|Mandatory DTM segment is missing.,Only segment and no element: DTM
,INVOIC_FLACONID07A_RFF0101-M_EQUAL_ON_DQ,Error line {0}: Reference Qualifier at RFF position 01 and sub-position 01 must be ON or DQ|Mandatory element RFF0101 is invalid at line {0}.
WARNING,INVOIC_FLACONID07A_RFF0102-M-35_LEN_1_35,Error line {0}: Data found at Reference Number at RFF position 01 and sub-position 02 (RFF01 qualifier 35) does not meet the Min/Max requirement of 1/35. Reference Number must be 1 to 35 characters.|Min/Max Error: The length of RFF0102 is invalid at line {0}.,Found Qualifier segment in message:RFF01
,INVOIC_FLACONID07A_DTM0101-M_EQUAL_171,Error line {0}: Date/Time/Period Qualifier at DTM position 01 and sub-position 01 must be 171|Mandatory element DTM0101 is invalid at line {0}.
,INVOIC_FLACONID07A_DTM0102-M_LEN_1_35,Error line {0}: Data found at Date/Time/Period at DTM position 01 and sub-position 02 does not meet the Min/Max requirement of 1/35. Date/Time/Period must be 1 to 35 characters.|Min/Max Error: The length of DTM0102 is invalid at line {0}.
,INVOIC_FLACONID07A_DTM0103-M_EQUAL_102,Error line {0}: Date/Time/Period Format Qual at DTM position 01 and sub-position 03 must be 102|Mandatory element DTM0103 is invalid at line {0}.
WARNING,INVOIC_FLACONID07A_NAD0201-M-SU_DBCHECK,Error line {1}: Mandatory elementNAD position 02 and sub-position 01 (NAD01 qualifier SU) must match the data found in NAD0201 (NAD01 qualifier SU) on the ORDERS. Expected Value: {0}.|Mandatory element NAD0201 is invalid at line {1}.,Found Qualifier segment in message:NAD01
WARNING,INVOIC_FLACONID07A_NAD0201-M-SU_DBCHECK_BLANK,Error line {1}: Mandatory element NAD position 02 and sub-position 01 (Qualifier SU) must match the data found in NAD0201 (Qualifier SU) on the ORDERS. Please reference to the Sample INVOIC and resubmit ORDERS.|Mandatory element NAD0201 is invalid at line {1}.,Found Qualifier segment in message:NAD01
WARNING,INVOIC_FLACONID07A_NAD0202-M-SU_DBCHECK,Error line {1}: Mandatory elementNAD position 02 and sub-position 02 (NAD01 qualifier SU) must match the data found in NAD0202 (NAD01 qualifier SU) on the ORDERS. Expected Value: {0}.|Mandatory element NAD0202 is invalid at line {1}.,Found Qualifier segment in message:NAD01
WARNING,INVOIC_FLACONID07A_NAD0202-M-SU_DBCHECK_BLANK,Error line {1}: Mandatory element NAD position 02 and sub-position 02 (Qualifier SU) must match the data found in NAD0202 (Qualifier SU) on the ORDERS. Please reference to the Sample INVOIC and resubmit ORDERS.|Mandatory element NAD0202 is invalid at line {1}.,Found Qualifier segment in message:NAD01
,INVOIC_FLACONID07A_NAD0203-M_EQUAL_9,Error line {0}: Code List Responsible Agency at NAD position 02 and sub-position 03 must be 9|Mandatory element NAD0203 is invalid at line {0}.
,INVOIC_FLACONID07A_NAD0401-M_LEN_1_35,Error line {0}: Data found at Party Name at NAD position 04 and sub-position 01 does not meet the Min/Max requirement of 1/35. Party Name must be 1 to 35 characters.|Min/Max Error: The length of NAD0401 is invalid at line {0}.
,INVOIC_FLACONID07A_NAD0501-M_LEN_1_35,Error line {0}: Data found at Street And Number/P.O. Box at NAD position 05 and sub-position 01 does not meet the Min/Max requirement of 1/35. Street And Number/P.O. Box must be 1 to 35 characters.|Min/Max Error: The length of NAD0501 is invalid at line {0}.
,INVOIC_FLACONID07A_NAD06-M_LEN_1_35,Error line {0}: Data found at City Name at NAD position 06 does not meet the Min/Max requirement of 1/35. City Name must be 1 to 35 characters.|Min/Max Error: The length of NAD06 is invalid at line {0}.
,INVOIC_FLACONID07A_NAD08-M_LEN_1_9,Error line {0}: Data found at Postcode Identification at NAD position 08 does not meet the Min/Max requirement of 1/9. Postcode Identification must be 1 to 9 characters.|Min/Max Error: The length of NAD08 is invalid at line {0}.
,INVOIC_FLACONID07A_NAD09-M_LEN_1_9,Error line {0}: Data found at Country Coded at NAD position 09 does not meet the Min/Max requirement of 1/9. Country Coded must be 1 to 9 characters.|Min/Max Error: The length of NAD09 is invalid at line {0}.
,INVOIC_FLACONID07A_FII01-M_EQUAL_RB,Error line {0}: Party Qualifier at FII position 01 must be RB|Mandatory element FII01 is invalid at line {0}.
,INVOIC_FLACONID07A_RFF01-M_EQUAL_LIST_RFFNAD,Error line {0}: RFF01 at RFF position 01 must be VA or FC or IT or API|Mandatory element RFF01 is invalid at line {0}.
,INVOIC_FLACONID07A_RFF02-M_LEN_1_35,Error line {0}: Data found at RFF02 at RFF position 02 does not meet the Min/Max requirement of 1/35. RFF02 must be 1 to 35 characters.|Min/Max Error: The length of RFF02 is invalid at line {0}.
